字段1,字段1链接,字段2,详情标题,字段3,字段4
推进煤炭清洁高效利用，今年这样干！,https://www.cctd.com.cn/show-37-231041-1.html,2023-02-14,推进煤炭清洁高效利用，今年这样干！,"来源：中国能源报
					
					发布时间：2023-02-14 09:43:22
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","现代煤化工是实现煤炭清洁高效利用的主要途径。今年，多个产煤省区都对煤化工作了重要部署，不仅提出了百亿、千亿元产值的发展目标，更提出了集群化布局、特色化定位的发展设想。规划思路明确，企业干劲十足，煤炭清洁高效利用正迈上新高度。

　　1月28日，陕西省2023年一季度重点项目集中开工，中煤榆林煤炭深加工基地以206.12亿元的总投资，成为这些工程中最大的高端能源化工项目;在内蒙古鄂尔多斯，投资478亿元的宝丰能源300万吨/年烯烃项目正加紧推进，计划3月前完成各项准备工作，18个月建成投产;由陕煤电力运城有限公司打造的煤炭分级分质清洁高效利用综合示范项目，于近日获得备案，投资为70亿元……新春伊始，主要产煤省区一批大项目取得新进展，为煤化工产业发展提气。
　　作为煤炭清洁高效利用的主要途径，煤化工项目发挥出煤炭所拥有的资源和原料双重属性优势，可对实现“双碳”目标起到助力作用。新的一年，如何进一步提高煤炭清洁高效利用的效能?在近期密集召开的地方两会上，多个产煤省区亮出新规划。
　　向百亿、千亿元产值进发
　　“具体将新建年产260万吨煤制烯烃，配套年产40万吨绿氢耦合制烯烃工程。”据宝丰能源相关人士介绍，该项目采取绿氢与现代煤化工协同生产工艺，是目前全球单厂规模最大的煤制烯烃项目，也是全球唯一规模化用绿氢替代化石能源生产烯烃的项目。
　　事实上，类似的优质项目落户内蒙古并非偶然。做大做强现代煤化工产业链已被该区列为2023年重点工作任务。具体包括，加快中石化、宝丰等重大项目建设，支持鄂尔多斯可再生能源制氢与现代煤化工产业耦合发展，支持乌海建设煤基生物可降解材料产业基地等，力争今年现代煤化工产值突破千亿元大关。“我区煤炭产量约占全国的1/4、全球的1/8，如果只是一味地在产量上做文章、不在产业上做文章，不把产业链拉长、转化率提高，就不可能改变简单‘挖煤卖煤’的局面。”在日前召开的内蒙古自治区第十四届人民代表大会第一次会议上，自治区主席王莉霞强调，要全力推动煤基产业老树发新芽。
　　记者进一步梳理发现，围绕煤炭清洁高效利用，各地有不少新思路。例如，在产煤第一大省山西，瞄准现代煤化工百亿产业目标，今年将促进煤炭分质分级梯级利用，支持朔州市抓好煤新一体化及煤化一体化，推动煤制高端化学品、煤制高端碳材料等关键技术取得突破，促进煤炭向原料、材料、终端产品转变。
　　再如，另一产煤大省陕西提出，强化能源工业支撑力，规划推进陕煤煤炭分质利用二阶段、国能CTC后续工程、榆林煤制清洁燃料等重大项目。除了加快推动重大项目建设，新疆还将加快推进准东国家级现代煤化工示范区、哈密国家级现代能源与化工产业示范区建设，构建以煤炭清洁高效利用为核心的循环产业链。
　　推进集约化、集群化布局
　　结合各地实际，“抱团”思路得到肯定。“基地化、园区化、装置大型化、炼化一体化和产业集群化，正是产业发展的未来趋势。要想打造成具有国际竞争力的现代煤化工产业集群和世界一流的现代煤化工园区，我们就要认真研究并定好‘规模集约化和产业集群化’的发展思路、目标和具体措施。”中国石油和化学工业联合会副会长傅向升称。
　　早前在接受记者采访时，中国工程院院士谢克昌便提出了煤化工产业发展空间有待优化的现实问题。大多数示范项目布局在煤炭资源富集地区，同时却也会受限于水资源、环境容量等因素，一些具备良好可持续发展表现的地区，反而缺乏项目规划。不过，总体看来，园区化、集群化、基地化的产业格局已初步形成，进展值得肯定。
　　谢克昌表示，在内蒙古鄂尔多斯、陕西榆林、宁夏宁东、新疆准东4个现代煤化工产业示范区，山西、河南、安徽淮南、贵州毕节、湖北荆州等散状布局点之余，根据国家“十四五”规划纲要，目前还新增了山西晋北、新疆哈密两个煤制油气基地。“多数项目都包含煤炭开采、煤炭转化等上下游关联产业，部分项目与石化、电力等行业实现多联产，进一步提高了综合效益。”
　　科学谋划亦带动企业信心大增。宝丰能源相关人士透露，除了年产300万吨煤制烯烃项目，在鄂尔多斯乌审旗苏格里经济开发区，还有年产140万吨煤制烯烃产能项目，已获得鄂尔多斯市人民政府的同意。“全区煤化工产业已具备一定规模，今年市里的政府工作报告为产业进一步指明了方向、擘画出蓝图。”内蒙古伊泰集团有限公司董事王三民称。
　　更加强调差异性、特色化
　　记者还注意到，相比早年扎堆热门项目类型，各地如今更加注重差异性、特色化。例如，山西省表示将“加快现代煤化工高端化多元化低碳化发展”;内蒙古自治区聚焦煤基特种燃料和煤基生物可降解材料，重点推动煤制烯烃向弹性材料、尼龙、特种塑料等产品延伸，推动煤制乙二醇向聚乙醇酸、聚酯纤维等产品延伸;陕西省提出“大力促进能源化工产业高端化、多元化、低碳化发展”，将拓展煤油气盐多元综合循环利用途径……
　　“《现代煤化工‘十四五’发展指南》把坚持创新引领、促进高端发展定为重要原则，创新是未来发展的最关键因素。”傅向升提出，走出差异化道路，必须加大创新力度、强化协同创新，不仅要聚焦高端煤制化学品、特种油品等产品研发，也要关注大型核心反应器及关键仪表、泵阀等技术攻关。“看看哪些技术、设备已经自强自立，哪些还不能自主，甚至存在卡脖子问题，这些都要通过创新来解决。”
　　多位业内人士一致表示，产品附加值低、同质化严重，一度是困扰全行业的主要瓶颈，带来产业链短、盈利能力差等问题。也正因此，走高端、多元道路成为共识。“煤化工企业要在政府帮助下，与国内外科研机构深度合作，加速开发煤化工具有明显优势的产品，如含氧化合物、α烯烃、特种油品等，实现产品差异化、特色化发展路径。”王三民建议。
　　国家能源集团化工公司相关负责人认为，立足煤炭本质特点，可差异化发展高附加值、碳排放少的含氧化合物、煤基炭素新材料等产品。“充分发挥煤炭作为化工原料的综合利用效能，利用煤炭的结构特性，以煤基特种燃料、煤基生物可降解材料、煤基碳材料为主线，构建煤基新材料、新燃料战略性新兴产业增长极。通过加大加工深度，拓展产品种类，实现高端化、差异化发展。”"
山西省煤矿安全生产形势持续稳定向好,https://www.cctd.com.cn/show-108-231040-1.html,2023-02-14,山西省煤矿安全生产形势持续稳定向好,"来源：山西新闻网
					
					发布时间：2023-02-14 09:41:41
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","山西省应急管理厅介绍，自2020年4月全省安全生产专项整治三年行动开展以来，全省各级煤矿安全监管部门和煤矿企业在制度完善、秩序规范、模式创新、装备投入等方面持续发力，推进全省煤矿安全生产形势持续稳定向好，全省煤矿事故起数和死亡人数同比均大幅下降，杜绝了重特大事故的发生。 
　　山西省进一步夯实各方责任，构建起党政领导、部门监管、企业主体、全员安全“四位一体”责任体系，织密织牢安全责任网络。进一步完善煤矿安全法规标准体系，发布实施《煤矿安全风险分级管控和隐患排查治理双重预防机制实施规范》《智能化露天煤矿建设规范》《煤矿采空区（废弃矿井）煤层气地面抽采安全规范》等3项地方标准；创新出台煤矿安全监管专员制度、加强煤矿安全生产18条特别规定、煤矿矿长考核记分办法等制度规定。进一步完善煤矿安全监管体系，制定出台《山西省煤矿分级分类安全监管监察办法》，全省890座煤矿均有一个日常安全监管主体，按照安全保障能力划分为ABCD四类，实行差异化精准监管。 
　　山西省进一步提升安全风险防控水平，建立煤矿双重预防监管监察信息平台、事故风险分析平台、风险监测预警系统，实现对全省正常生产建设煤矿安全监控、人员位置监测、工业视频监测“三大系统”数据的动态跟踪。进一步提升重大灾害治理水平，持续深化瓦斯、水、顶板等重大灾害治理，大力推进“三区联动立体式”瓦斯抽采，三年来，共抽采瓦斯180.31亿立方米。进一步提升煤矿本质安全水平，强力推进煤矿智能化建设，全省共建成37座智能化煤矿和993处智能化采掘工作面。持续深化煤矿安全生产标准化管理体系建设，全面实施岗位作业流程标准化，共建成一级标准化矿井215座、二级标准化矿井398座。 
　　据介绍，三年来，山西省累计对1245名煤矿矿长进行了考核记分，其中77人被责令调离矿长岗位。共检查煤矿59634矿次，查处一般隐患597465条、重大隐患1138条，责令停产整顿煤矿968座，责令局部停止作业502处，责令停止使用设备4768（台、套）。同时扎实开展安全技能提升行动，线下培训20余万人次，“三项岗位人员”考核发证13.25万人次。"
CCTD：煤市下跌惯性何时打破？,https://www.cctd.com.cn/show-42-231037-1.html,2023-02-14,CCTD：煤市下跌惯性何时打破？,"来源：中国煤炭市场网
					
					发布时间：2023-02-14 09:34:24
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","市场情况综述
　　产地方面，随着供应进一步回归以及沿海价格快速下行，晋陕蒙均出现不同程度下跌，后半周有加速下跌迹象。目前鄂尔多斯、晋北煤矿基本恢复正常生产，日产量已接近年前正常水平；榆林地区神木、榆阳、横山大部分恢复生产销售，府谷地区复工相对缓慢。而需求端电力企业采购放缓、水泥企业仍处于淡季，随着产地港口价差不断缩窄，产地至港口发运也处于低位。价格下行后，市场观望氛围浓厚。运输方面，假期过后汽运运力增加，运费下行，但市场煤发运困难，铁路方面，大秦线运量小幅回落，张唐线请车意愿低迷。
　　港口方面，上周跌幅加剧。节后气温逐步回升，供暖用电安全得以保障，而沿海电力企业库存高位，个别甚至出现顶库情形，因此多数减少北港派船，降低采购数量，甚至推迟长协发运。北港价格节后也逐步下行，进一步削弱了下游采购意愿，形成反馈后，上周价格明显加速下行。目前北港调入虽有所减少，但下游派船绝对低位，北港库存仍延续累积趋势，创同期历史新高。北港库容接近极限，加剧了贸易商降价出货节奏。
　　分析研判
　　本周产地市场预计延续下行，关注发运利润情况。目前港口产地价格倒挂明显，市场煤发运较为困难，价格正在跟随港口下行。上周五大集团委托采购价格调降100元/吨，也将促使蒙西地区价格加快补跌进度，进而带动周边产区。而内陆省份下游电企库存近期虽有去化，但仍较为充足，后期气温将逐步回暖，即便价格企稳也仍以刚需采购为主。化工、水泥等非电行业短期补库需求也相对分散，2月仍处于水泥春季消费旺季前的需求真空期。两会后料有进一步稳定经济政策出台，但远水难解近渴，同时水电及新能源也将贡献主要电力增量。
　　本周港口市场预计延续下行，周中或暂时企稳，关注终端企业去库情况。目前沿海需求恢复进度正常，减少采购后，库存去化仍极为缓慢，叠加煤炭价格下行，进一步抑制采购意愿。短期来看目前市场已完全转为买方市场，关注沿海终端企业库存去化进度，以及港口派船动向，预计本周仍难有改善。同时后期电企采购也以兑现长协为主，市场煤托底仍需非电需求支撑。目前化工需求较为平稳，水泥需求受制于错峰限产，需3月中旬后方能有所改善，同时基建、地产开工情况对水泥提振作用也不宜高估。港口目前库存历史高位，疏港压力极大，需求短期难以提振，价格仍将承压。但毕竟连续快速下行后，沿海市场也存在短时企稳休整的可能。
　　进口市场，近期印尼价格同样加速下行，但尚不足以刺激终端需求回升。当前电厂库存普遍处于高位，再加上在长协煤的保障下，电厂招标数量有限，市场交投仍保持低迷，整体需求端仍呈现偏弱态势。（作者：书豪）"
内蒙古：三个盟市原煤产量占全区比重86.7%,https://www.cctd.com.cn/show-176-231035-1.html,2023-02-14,内蒙古：三个盟市原煤产量占全区比重86.7%,"来源：内蒙古日报
					
					发布时间：2023-02-14 09:33:25
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","内蒙古统计局最新消息：2022年，内蒙古11个产煤盟市规模以上工业企业原煤产量有升有降。
　　其中，鄂尔多斯市、锡林郭勒盟和呼伦贝尔市原煤年产量均创历史新高，三大主产区规模以上工业企业原煤产量分别为7.79亿吨、1.35亿吨和1.04亿吨，分别比上年增长11.7%、10.7%和9.6%，合计产量占全区规模以上工业企业原煤产量的86.7%，占比较2021年提高1.2个百分点，拉动全区原煤产量增长9.7个百分点。
　　2022年以来，内蒙古全力以赴做好煤炭增产保供工作，积极推动原煤产量实现较快增长。
　　2022年，全区规模以上工业企业原煤产量11.74亿吨，创历史新高，比上年同期增加1.4亿吨，比上年增长10.1%，保持了两位数增长态势。从月度原煤生产看，11月、12月全区原煤产量连续两个月破亿吨，12月原煤产量10390.1万吨。"
日通关7万吨 策克口岸恢复蒙古国煤炭跨境运输,https://www.cctd.com.cn/show-114-231033-1.html,2023-02-14,日通关7万吨 策克口岸恢复蒙古国煤炭跨境运输,"来源：央广网
					
					发布时间：2023-02-14 09:30:52
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","2月12日8时，在策克口岸“十进六出”运输通道内，一辆辆满载蒙古国进口原煤的车辆从西伯库伦口岸驶入策克口岸查验区，等待中方查验后依次有序通关。从2月10日起，策克口岸开始恢复蒙古国煤炭跨境运输，日通关过货量达到7万吨以上。

煤炭运输车依次通关
　　策克口岸位于内蒙古阿拉善盟额济纳旗境内，是阿拉善盟对外开放的唯一国际通道，是内蒙古、陕、甘、宁、青五省区所共有的陆路口岸，同时也是内蒙古第三大口岸。
　　近年来，策克口岸实施“四合一”申报模式，不断提升口岸贸易便利化、高效化、智能化水平，推动口岸进出口贸易稳步有序进行。

煤炭运输车依次排队查验准备通关
　　“口岸恢复跨境运输车辆入境后，日通关过货量将大幅提升。我们将依托‘十进六出’货运通道，在稳步推进跨境运输车辆通关的基础上，持续实施集装箱吊装、AGV无人驾驶、智能重卡运输通关等新模式，优化通关效率，提升通关便利化水平，切实提高通关过货量。”策克口岸经济开发区口岸事务局局长哈斯额尔登说。
　　额济纳旗浩通能源有限公司副总经理陈琛表示，恢复跨境车辆运输，进行常态化通关，对于企业是个好消息，将极大提高企业煤炭进口效率，降低企业经营成本，带动企业发展。"
浙能煤电迎疫情以来首艘夜间靠泊外轮煤船,https://www.cctd.com.cn/show-22-231032-1.html,2023-02-14,浙能煤电迎疫情以来首艘夜间靠泊外轮煤船,"来源：舟山日报
					
					发布时间：2023-02-14 09:29:29
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","2月9日20时30分，在海事部门的护航下，一艘装载15.8万吨煤炭的外国籍散货船缓缓靠上浙能煤电中转码头1号泊位。这是该码头自2020年疫情以来首艘在夜间靠泊的外轮。 
　　浙能煤电中转码头是华东地区最大的专业化煤炭中转码头，为华东地区的经济发展和居民生活提供源源不断的电煤物资。当前正值电煤等重点能源物资的需求高峰，舟山海事局全力服务电煤运输船舶安全、畅通。 
　　春运以来，浙能煤电中转码头共进出电煤运输船舶40艘次，实现电煤吞吐104.6万吨，有效缓解了华东地区“燃煤”之急。"
河南：一季度用电用煤不低于去年同期的企业可获20万奖励,https://www.cctd.com.cn/show-19-231031-1.html,2023-02-14,河南：一季度用电用煤不低于去年同期的企业可获20万奖励,"来源：河南省工业和信息化厅
					
					发布时间：2023-02-14 09:28:10
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","日前，河南省工业和信息化厅和河南省财政厅联合下发《关于做好2023年第一季度规上工业企业满负荷生产财政奖励资金申报工作的通知》（以下简称《通知》），鼓励和引导企业稳定生产、快速复产，有效提振企业发展信心，推动全省上下掀起拼经济的热潮。
具体的奖励政策为，对今年第一季度满负荷生产的规上工业企业，给予10万元的财政奖励。对第一季度满负荷生产且实现营业收入同比增长10%以上的规上工业企业，给予20万元的财政奖励。奖补资金由省级和属地财政按照1∶1比例分担。
对于满负荷生产的标准，《通知》明确，主要能耗为电力的企业，季度用电量不低于去年同期，月均用电量达到去年月用电量峰值80%（含）以上。主要能耗为燃气或煤炭的企业，燃气或煤炭等季度用量不低于去年同期，月均用量达到去年月用量峰值80%（含）以上。发电、供水、燃气等企业，季度发电量（供水、供气）不低于去年同期，月均产出达到去年月产出峰值的80%（含）以上。
申报范围为2023年3月31日前纳入且仍在省统计部门规模以上工业企业库的工业企业（独立法人）。4月15日前，各地工信部门会同财政部门组织本辖区的企业申报和审核工作。
为鼓励企业积极生产，去年河南省兑现一季度规上工业企业满负荷生产财政奖励资金2.15亿元，支持1795家企业复工复产、达产达效。
 
附件：《河南省工业和信息化厅 河南省财政厅 关于做好2023年第一季度规上工业企业满负荷 生产财政奖励资金申报工作的通知》"
陕西：加快推动煤炭清洁高效利用,https://www.cctd.com.cn/show-115-231030-1.html,2023-02-14,陕西：加快推动煤炭清洁高效利用,"来源：陕西省人民政府
					
					发布时间：2023-02-14 09:23:07
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","2月8日，《陕西省“十四五”节能减排综合工作实施方案》发布。目标到2025年，能源消费总量得到合理控制，全省单位国内生产总值能源消耗和化学需氧量、氨氮、氮氧化物、挥发性有机物四项主要污染物重点工程减排量完成国家下达的目标任务。节能减排政策机制更加健全，重点行业能源利用效率和主要污染物排放控制水平基本达到国际先进水平，经济社会发展绿色转型取得显著成效。
深入推进重点领域节能减排方面，《方案》提到，加快推动煤炭清洁高效利用。立足国家重要能源化工基地定位，坚持先立后破，严格合理控制煤炭消费增长，推进煤炭清洁高效利用，推进存量煤电机组节煤降耗改造、供热改造、灵活性改造“三改联动”。稳妥有序推进大气污染防治重点区域燃料类煤气发生炉、燃煤热风炉、加热炉、热处理炉、干燥炉（窑）以及建材行业煤炭减量，实施清洁电力和天然气替代。推广大型燃煤电厂热电联产改造，充分挖掘供热潜力，推动淘汰管网覆盖范围内的燃煤锅炉和散煤。加大落后燃煤锅炉和燃煤小热电退出力度，推动以工业余热、电厂余热、清洁能源等替代煤炭供热（蒸汽）。到2025年，全省非化石能源消费比重达到16%，完成国家“十四五”汾渭平原煤炭消费量控制目标。
实施传统产业节能降碳改造升级。以钢铁、有色金属、建材、石化化工等行业为重点,扎实推进节能降碳改造和污染物深度治理。依法依规淘汰落后产能、落后工艺、落后产品，持续化解过剩产能，鼓励重点行业和重点企业通过多种措施提高能效水平。加强绿色低碳工艺技术装备推广应用，加快推进水泥、钢铁、焦化行业及燃煤锅炉超低排放改造，到2025年，全面完成钢铁行业超低排放改造，关中地区燃煤机组、燃煤锅炉全面完成超低排放改造。
到2025年，通过实施节能降碳行动，钢铁、电解铝、水泥、平板玻璃、炼油、乙烯、合成氨、电石等重点行业产能和数据中心达到能效标杆水平的比例超过30%。
进一步完善节能减排政策机制方面提到，加快构建绿色金融体系，大力发展绿色信贷，支持重点行业领域节能减排，用好碳减排支持工具和支持煤炭清洁高效利用专项再贷款，加强环境和社会风险管理。
 
链接：陕西省人民政府关于印发“十四五”节能减排综合工作实施方案的通知"
全国碳市场每日成交数据20230213,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=713&id=231102,2023-02-13,全国碳市场每日成交数据20230213,"来源：上海环境能源交易所
					
					发布时间：2023-02-13 16:32:00
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","今日全国碳市场碳排放配额（CEA）挂牌协议交易成交量500吨，成交额28,000.00元，开盘价56.00元/吨，最高价56.00元/吨，最低价56.00元/吨，收盘价56.00元/吨，收盘价与前一日持平。今日无大宗协议交易。今日全国碳排放配额（CEA）总成交量500吨，总成交额28,000.00元。
　　截至今日，全国碳市场碳排放配额（CEA）累计成交量230,046,563吨，累计成交额10,495,704,919.54元。"
运力需求有限 沿海煤炭运价平稳运行,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=576&id=231024,2023-02-13,,,
