字段1,字段1链接,字段2,字段3,字段5,字段6,字段4
徐矿集团实施“51111”工程建设新时代企业家队伍,https://www.cctd.com.cn/show-22-236191-1.html,2023-09-08,,徐矿集团实施“51111”工程建设新时代企业家队伍,"来源：徐矿集团
					
					发布时间：2023-09-08 09:56:28
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","近日，徐矿集团出台《关于新时代徐矿企业家队伍建设的意见》，建立健全企业家队伍建设长效机制，大力实施“51111”工程，力争5年内培养造就10名杰出企业家、10名优秀企业家、10名青年企业家，动态储备100名优秀经营管理人才，着力建设与创建世界一流企业高度匹配的新时代徐矿企业家队伍。
　　新时代徐矿企业家队伍建设坚持“政治站位高、眼界视野宽、创新精神强、治理能力优、为民情怀深”五项培育标准，与人才强企战略同谋划、同部署、同推进，着力通过科学完善企业家队伍培育顶层设计，建立符合企业家群体特点的政策体系以及企业家人才库和企业家青年人才库强化规划引领；通过大力实施综合性培训素质提升工程，常态化组织职业经理人培训，到“六大能源基地”一线、资本运作战场等交流锻炼强化培育体系；通过注重从基层一线、创业一线选拔业绩突出的企业家及后备力量，并优先进一步使用和提拔使用强化激励手段；通过进一步优化企业家服务项目办事流程，构建特事特办、急事急办、好事抓紧办工作体系，建立企业家沟通“绿色通道”，直接参与政策制定、文件出台等工作，一体推进管思想、管工作、管作风、管创新强化保障机制；通过总结优秀企业家典型案例，编制新时代徐矿企业家画册，开设优秀企业家专栏和专题访谈节目，营造尊重企业家价值、鼓励企业家创新、发挥企业家示范带动作用的浓厚氛围强化示范引领，奋力打造全国行业企业家培育示范区。"
山西省与中央企业深化合作座谈会暨签约仪式举行,https://www.cctd.com.cn/show-176-236190-1.html,2023-09-08,,山西省与中央企业深化合作座谈会暨签约仪式举行,"来源：山西新闻联播
					
					发布时间：2023-09-08 09:55:09
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","9月6日下午，山西省与中央企业深化合作座谈会暨签约仪式在太原举行，省政府与部分央企现场签订战略合作协议。省委书记蓝佛安，国务院国资委副主任袁野出席并讲话。国务院国资委党委委员、中国安能董事长周国平，省领导李凤岐、卢东亮、汤志平、赵红严，55家央企负责同志出席。省委常委、常务副省长吴伟主持座谈会暨签约仪式。
　　蓝佛安在讲话中代表省委、省政府对各位嘉宾莅晋出席太原能源低碳发展论坛表示欢迎，对国务院国资委和各家中央企业长期以来对山西的关心、支持、帮助表示感谢。他说，习近平总书记始终关心山西发展，亲自赋予建设国家资源型经济转型综改试验区、开展能源革命综合改革试点、打造对外开放新高地等重大使命，这是山西高质量发展的最大底气、最好平台和最宝贵机遇。党的十八大以来，习近平总书记先后四次亲临山西考察调研，发表重要讲话、作出重要指示，为我省转型发展指明了前进方向、提供了根本遵循。省委、省政府牢记领袖嘱托，深刻总结山西转型发展实践和规律，提出进一步加快转型发展的“66831”工作体系，团结带领全省人民，朝着“两个基本实现”目标奋勇前进。在此次太原论坛召开期间，我省同步举办与央企深化合作座谈会暨签约仪式，是央地双方共同贯彻落实习近平总书记考察调研山西重要讲话重要指示精神的具体行动，是进一步拓展山西与央企多领域、全方位、深层次合作的具体举措，体现了央企对山西进一步加快转型发展、奋进“两个基本实现”目标的鼎力相助，也标志着山西与央企合作发展达到新水平、取得新成效。
　　蓝佛安指出，中央企业是中国特色社会主义建设的中坚力量，是国民经济的重要支柱，也是促进地方经济发展的“国家队”。长期以来，央企与山西的战略合作持续深化，项目不断增多，领域日益拓展，特别是近年来呈现出强劲势头。央企在晋既致力于经济发展，又履行社会责任，已经深度融入山西，为促进山西转型发展、高质量发展作出了重要贡献。希望更多央企走进山西、布局山西，把山西作为重要的战略支点，充分发挥在人才、技术、资金、管理、市场等方面的突出优势，深度参与山西转型发展事业，重点聚焦制造业、能源产业、科技创新、数字经济、文旅康养、基础设施建设、新型城镇化建设、生态环境等领域，创新合作机制，提升合作水平，在更高层次上实现互利共赢发展。山西将全力打造“三无”“三可”营商环境，加快构建高标准市场体系，强力打造开发区、专业镇、产业链“链长制”等集聚发展的平台抓手，进一步健全对接机制、提供高效服务、强化要素保障，让央企在山西放心投资、放手发展，共同谱写互惠互利、合作共赢的央地合作新篇章。对于这次签订的战略合作协议和项目合作协议，要项目化、清单化、具体化落实，扎实推进重大签约项目前期工作，坚持中央企业的项目推进到哪里，服务保障就跟进到哪里，“一企一策”满足企业需求，全力以赴推动项目早落地、早建设、早见效。
　　袁野在讲话中提出，希望中央企业与山西深化合作，国务院国资委将进一步加大支持力度，为双方合作提供更好服务保障。
　　会上，中国石油、国家电网、华电集团、中国移动、华润集团、中国诚通、中煤集团、中交集团、国药集团、中广核集团、中盐集团、中国建材等部分中央企业负责人先后发言，分别介绍了企业在晋发展情况及下一步合作意向，展望了央企与山西深化务实合作的广阔前景。
　　在随后进行的签约仪式上，省政府分别与大唐集团、宝武集团、中建集团、中国旅游、中煤科工、中交集团、中国安能、中广核集团、中国移动、中盐集团、中智集团、中车集团等中央企业签署战略合作协议，合作内容涉及能源、新材料、装备制造、节能环保等产业领域。
　　国务院国资委有关厅局负责同志，央企集团有关部门、部分央企驻晋企业负责同志，省直有关部门、省属国有企业主要负责同志，各市市长、国资委主任等参加。"
宋振骐院士：智能矿山建设为未来的矿山安全和生产效率提供指导和支持,https://www.cctd.com.cn/show-176-236189-1.html,2023-09-08,,宋振骐院士：智能矿山建设为未来的矿山安全和生产效率提供指导和支持,"来源：新华网
					
					发布时间：2023-09-08 09:46:54
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","近日，以“算力赋能工业智造，数字经济引领未来”为主题的2023中国算力大会“算力赋能工业经济”分论坛在宁夏银川举行。

　　中国科学院院士宋振骐在论坛上作了题为《创新驱动智能制造》的主题演讲。他介绍了创新驱动与智能制造在矿山行业的应用，阐明了创新驱动与智能制造的关系。他表示，智能矿山是基于信息技术的创新，通过物联网、大数据、人工智能等技术手段，实现矿山生产的智能化和数字化，智能矿山建设为未来的矿山安全和生产效率提供了有力的指导和支持。
　　论坛启动了《智算工业园区白皮书》，发布了《工业行业视频AI算法仓解决方案》。多家企业携手成立了智慧矿山产业联盟和智能算力创新联合体。其牵头成立的“机器人及智能制造联合实验室”“天翼机器人综合服务中心”也正式揭牌。

　　智慧矿山产业联盟，由宁夏电信利用“北斗+GIS+遥感”和“智能视频AI”等前沿技术，联合中科曙光打造国产化工控平台和智慧工业数智能力，构建矿山智能安全管控基础底座；利用物联网技术，采集各类矿山数据，打通数据孤岛，建设智慧矿山大数据智能运营一体化中台，助力矿山企业安全生产、节能减排、质量与效率提升，赋能矿山行业高质量发展。"
关于进一步加强煤矿安全监控系统一氧化碳超限报警处置的通知,https://www.cctd.com.cn/show-108-236188-1.html,2023-09-08,,关于进一步加强煤矿安全监控系统一氧化碳超限报警处置的通知,"来源：国家矿山安全监察局山东局
					
					发布时间：2023-09-08 09:39:30
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","近日，国家矿山安全监察局山东局发布《关于进一步加强煤矿安全监控系统一氧化碳超限报警处置的通知》。
　　《通知》对一氧化碳超限报警的原因填报进行了规范。
　　《通知》规定，一氧化碳超限报警一小时内必须完成初步报警原因分析并进行填报，24小时内对报警原因进行确认并修改填报最终原因。
　　《通知》要求，山东局将对未按规定时间填报超限报警原因、超限报警原因研判不到位、不按规定标校传感器等问题依据相关法律法规并区分情形从严进行处理处罚，对多次被通报的煤矿负责人进行约谈。
 
　　通知全文如下：
国家矿山安全监察局山东局办公室
关于进一步加强煤矿安全监控系统
一氧化碳超限报警处置的通知
 
各煤矿：
　　近期，部分煤矿对一氧化碳超限报警不重视、处置不及时、研判不到位，被国家矿山安全监察局《煤矿安全风险监测预警系统分析研判周报》多次通报，为真正发挥安全监控系统真报警、报真警的预警作用，保障煤矿安全生产，现提出以下要求，请认真贯彻落实。
　　一、规范报警原因填报
　　（一）报警原因填报时间。一氧化碳超限报警一小时内必须完成初步报警原因分析并进行填报，24小时内对报警原因进行确认并修改填报最终原因。
　　（二）报警原因填报格式。1.爆破炮烟引发的超限报警：XX（地点）爆破，炮烟引发传感器报警。2.运输设备尾气引发的超限报警：XX（运输设备名称）运行，尾气引发传感器报警。3.误报警：误报警（备注具体原因，如标校时未打到标校状态、传感器故障、设备进水等）。4.现场一氧化碳超限报警：现场一氧化碳超限（备注具体原因，如采空区一氧化碳涌出，设备磨损、烧坏，气焊作业不规范等）。5.其他原因引发的超限报警：其他原因引发传感器报警（备注具体原因）。
　　（三）报警原因核查报告。各煤矿必须在24小时内对一氧化碳超限报警（不包含爆破炮烟及运输设备尾气引发的超限报警）进行核查并形成书面报告，通过各监察执法处监测预警工作微信群进行上报。
　　二、规范传感器标校
　　在一氧化碳传感器标校前，必须将传感器打到“标校”状态，杜绝因操作不当引起的误报警。
　　三、严肃处理处罚
　　山东局将对未按规定时间填报超限报警原因、超限报警原因研判不到位、不按规定标校传感器等问题依据相关法律法规并区分以下情形从严进行处理处罚，对多次被通报的煤矿负责人进行约谈：
　　（一）未按规定时间填报超限报警原因的，依据《安全生产违法行为行政处罚办法》第四十五条第一项规定，对单位处1万元以上3万元以下罚款；情节严重的，同时对主要负责人、其他有关人员处1000元以上1万元以下的罚款。
　　（二）超限报警原因研判不到位，原因填报错误的，依据《煤矿安全监察条例》第四十五条规定，对单位给予警告，处5万元以上10万元以下的罚款；情节严重的，责令停产整顿；对直接负责的主管人员和其他直接责任人员，提出执法建议依法给予撤职直至开除的纪律处分。
　　（三）存在不按规定标校传感器等问题，构成安全设备的安装、使用、检测或维护、保养不符合国家标准或行业标准的违法行为的，依据《中华人民共和国安全生产法》第九十九条第二项、第三项规定，对单位处五万元以下的罚款。相关联的安全检测检验机构同时存在违法行为的，一并予以处理处罚。
　　（四）存在修改、删除及屏蔽系统数据，构成重大隐患的，依据《国务院关于预防煤矿生产安全事故的特别规定》第十条第一款、第十一条第一款规定，责令停产整顿，对单位处50万元以上200万元以下的罚款，对相关负责人处3万元以上15万元以下的罚款；移送暂扣采矿许可证、安全生产许可证。涉嫌构成危险作业罪的，依据《刑法》第一百三十四条之一规定，依法追究刑事责任。
　　各煤矿安全监控系统和数据上传存在的问题，可联系山东局信息计算中心技术人员协调厂家解决。联系人：吕学辉，联系电话：17515318890。
 
国家矿山安全监察局山东局办公室
2023年9月1日"
《2023能源变革指数蓝皮书》发布 首次建立国家能源变革量化评估体系,https://www.cctd.com.cn/show-16-236186-1.html,2023-09-08,,《2023能源变革指数蓝皮书》发布 首次建立国家能源变革量化评估体系,"来源：央视网
					
					发布时间：2023-09-08 09:33:01
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","9月7日，在江苏苏州举行的2023年国际能源变革论坛发布了《2023能源变革指数蓝皮书》，蓝皮书从5个维度，首次建立了国家能源变革量化评估体系。

　　《2023能源变革指数蓝皮书》基于“四个革命、一个合作”的能源安全新战略，选取了94项体现变革现状和速度的指标，从能源消费、能源供给、能源技术、能源体制和国际合作5个维度，首次建立了国家能源变革量化评估体系。
　　水电水利规划设计总院院长  李昇：通过对65个主要国家能源转型进展、增速和潜力的全面客观评估，蓝皮书识别出全球能源发展现状与差距，深入分析能源变革面临的挑战，提出有针对性的变革路径与发展建议。
　　以能源供给这个维度为例，蓝皮书显示，2022年全球可再生能源装机容量近10年年均复合增长率为9%，是化石能源的10倍。
　　在能源技术这个维度中，中国位列能源技术变革第二名，中国在光伏发电、风电、储能等装备全产业链研发、生产能力，清洁能源工程建设能力等方面表现突出。
　　水电水利规划设计总院院长  李昇：从我们国家来讲，不管是提出新型能源体系，还是构建新型电力系统，都需要对能源进行长期的变革，那么在这个变革过程中，怎么来对我们变革的进展、变革的成效、变革的差距与不足进行一个评价，就需要构建这种能源变革指数，同时在这个变革过程当中，各个国家的变革指数也在不停地变化，我们可以互相学习，互相参考。"
陕煤集团&湖北能源集团：探讨煤炭保供、煤电联营,https://www.cctd.com.cn/show-22-236185-1.html,2023-09-08,,陕煤集团&湖北能源集团：探讨煤炭保供、煤电联营,"来源：陕煤集团
					
					发布时间：2023-09-08 09:28:05
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","9月5日，湖北能源集团总经理、党委副书记涂山峰一行到陕煤集团座谈交流。双方围绕煤炭保供、煤电联营、港口建设等话题进行了充分探讨和交流。
　　陕煤集团党委副书记、董事、总经理赵福堂对涂山峰一行表示欢迎，并简要介绍了陕煤集团基本情况以及1-8月份的生产经营情况。赵福堂指出，湖北能源集团与陕煤集团多年来合作交流密切、情感深厚，希望双方加强沟通交流，陕煤集团将深入研究有关合作项目合规性、可行性、有效性，尽快达成合作共识。
　　涂山峰对陕煤集团在煤炭保供方面给予的大力支持和帮助表示由衷的感谢，并简要介绍了湖北能源集团今年以来的生产经营状况以及未来的发展规划，同时希望陕煤集团能够在煤炭保供方面继续给予支持，加深双方战略合作。"
山西确认20座煤矿为安全生产标准化管理体系二级达标煤矿,https://www.cctd.com.cn/show-108-236184-1.html,2023-09-08,,山西确认20座煤矿为安全生产标准化管理体系二级达标煤矿,"来源：山西省应急管理厅
					
					发布时间：2023-09-08 09:25:31
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","山西省应急管理厅 山西省地方煤矿安全监督管理局
关于确认山西古交煤焦集团平定窑煤业有限公司等 20 座煤矿
为安全生产标准化管理体系二级达标煤矿的通知
晋应急发〔2023〕354 号
 
太原、朔州、阳泉、晋中、晋城、吕梁、临汾市应急管理局：
　　根据国家矿山安监局《煤矿安全生产标准化管理体系考核定级办法（试行）》和《煤矿安全生产标准化管理体系基本要求及评分方法（试行）》有关规定，经考核并公示，确认山西古交煤焦集团平定窑煤业有限公司等 20 座煤矿（见附件）为安全生产标准化管理体系二级达标煤矿。有效期为自确认之日起 3 年。
　　一、山西古交煤焦集团平定窑煤业有限公司等 20 座煤矿要在安全生产标准化管理体系二级达标基础上，持续改进和完善安全生产条件，进一步加强安全、生产、技术和现场管理，定期开展安全生产标准化达标自检，不断提高安全生产标准化水平，保障安全生产。
　　二、太原、朔州、阳泉、晋中、晋城、吕梁、临汾市应急管理局要加强对达标煤矿的动态监管，督促其落实主体责任，实现持续达标、动态达标。
 
　　附件：安全生产标准化管理体系二级达标煤矿名单
山西省应急管理厅 山西省地方煤矿安全监督管理局
2023 年 9 月 6 日
附件
安全生产标准化管理体系二级达标煤矿名单（20 座）
 
1.山西古交煤焦集团平定窑煤业有限公司
2.山西煤炭运销集团古交福昌煤业有限公司
3.中煤平朔集团有限公司井工三矿
4.山西中煤平朔北岭煤业有限公司
5.山西朔州平鲁区易顺煤业有限公司
6.山西平定古州冠裕煤业有限公司
7.山西平定古州卫东煤业有限公司
8.阳泉煤业（集团)股份有限公司二矿
9.山西阳泉盂县辰通煤业有限公司
10.山西煤炭运销集团榆次巍山煤业有限公司
11.山西灵石天聚富源煤业有限公司
12.山西煤炭运销集团神农煤业有限公司
13.山西晋煤集团泽州圣鑫煤业有限公司
14.山西离柳鑫瑞煤业有限公司
15.山西柳林联盛哪哈沟煤业有限公司
16.山西楼俊集团泰业煤业有限公司
17.山西方山金晖瑞隆煤业有限公司
18.山西汾西宜兴煤业有限责任公司
19.安徽省皖北煤电集团临汾天煜恒昇煤业有限责任公司
20.山西乡宁焦煤集团燕家河煤业有限公司"
1-8月中国出口钢材5878.5万吨 同比增长28.4%,https://www.cctd.com.cn/show-18-236183-1.html,2023-09-08,,1-8月中国出口钢材5878.5万吨 同比增长28.4%,"来源：海关总署
					
					发布时间：2023-09-08 09:23:27
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","海关总署最新数据显示，2023年1-8月份，中国出口钢材5878.5万吨，同比增28.4%。
　　今年前8个月中国钢材出口额累计595.3亿美元，同比降11.1%。据此测算，1-8月中国钢材出口均价为1012.7美元/吨，同比降30.8%。
　　8月份，中国出口钢材828.2万吨，环比增13.3%，同比增34.6%；出口额为67.1亿美元，环比增6.0%，同比降30.6%；据此测算出口均价为810.7美元/吨，环比降6.5%，同比降48.4%。"
CCTD：煤价又涨不动了？,https://www.cctd.com.cn/show-42-236180-1.html,2023-09-08,,CCTD：煤价又涨不动了？,"来源：中国煤炭市场网
					
					发布时间：2023-09-08 09:17:50
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","经过近期港口煤炭市场价格的快速上涨，今日开始港口市场情绪有所降温。在市场成交没有明显提升下，除低硫高热值稀缺煤种仍有小幅调涨外，其他煤种个别贸易商报价出现松动。终端电厂库存充足，空单补货也基本结束，仅少量非电刚需对价格支撑有限，那后期价格是否有再度转跌的风险？
　　目前来看，港口市场仍面临两大问题。
　　一是铁路发运利润难以修复，市场煤库存较低。根据海关总署9月7日公布的数据显示，8月份我国进口煤炭4433.3万吨，同比仍然保持大幅上涨趋势，继续挤压港口内贸煤炭市场份额。港口市场需求表现弱于产地，到港发运利润大幅倒挂以及后市持悲观态度，部分贸易商已暂停发运。尽管近期港口价格已有一定幅度的上涨，但倒挂幅度并没有明显改善，也将继续抑制后期市场煤集港，北方港口货源补充不足，供应结构性偏紧现象仍难以改善。
　　二是主产地安全检查严格，市场煤供应小幅收紧。近期煤矿安全检查较多，部分煤矿还在停产减产中，产量释放受限。目前长协煤发运稳定，冶金化工等需求良好，港口涨价及大集团优惠政策带动，周边煤厂及站台贸易商等市场户采购积极提升，部分煤矿涨价后拉煤车排队仍比较多，价格稳步上涨。
　　整体来看，本轮现货价格上涨更多为供应端因素支撑，采购需求仍相对偏弱。但短期发运到港成本倒挂，港口调进量低位，存煤结构性矛盾难以解决，加上后续铁路秋季检修等预期因素影响下，短期煤价涨势虽有所收窄，但整体仍将震荡偏强运行。（作者：徐星河）"
全国碳市场每日综合价格行情及成交信息20230907,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=713&id=236213,2023-09-07,,全国碳市场每日综合价格行情及成交信息20230907,"来源：上海环境能源交易所
					
					发布时间：2023-09-07 16:15:00
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","今日全国碳市场综合价格行情为: 开盘价70.61元/吨，最高价72.33元/吨，最低价66.67元/吨，收盘价71.28元/吨，收盘价较前一日上涨1.92%。
　　今日挂牌协议交易成交量384,603吨，成交额27,432,973.00元；大宗协议交易成交量3,067,988吨，成交额186,393,790.56元。
　　今日全国碳排放配额总成交量3,452,591吨，总成交额213,826,763.56元。
　　截至今日，全国碳市场碳排放配额累计成交量267,746,284吨，累计成交额12,703,939,833.30元。"
