字段1,字段1链接,字段2,详情标题,字段3,字段4
2023年一季度世界主要煤炭生产国产量变化情况,https://www.cctd.com.cn/show-113-233150-1.html,2023-05-10,2023年一季度世界主要煤炭生产国产量变化情况,"来源：中国煤炭经济研究会
					
					发布时间：2023-05-10 09:43:34
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻",
关于动力煤期货2405合约有关事项的公告,https://www.cctd.com.cn/index.php?m=content&c=index&a=show&catid=606&id=233147,2023-05-10,关于动力煤期货2405合约有关事项的公告,"来源：郑州商品交易所
					
					发布时间：2023-05-10 09:36:43
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","关于动力煤期货2405合约有关事项的公告 
〔2023〕33号 
 
　　经研究决定，现将动力煤期货2405合约有关事项公告如下： 
　　一、交易保证金标准和涨跌停板幅度 
　　交易保证金标准为50%，涨跌停板幅度为10%。按规则规定执行的交易保证金标准和涨跌停板幅度高于上述标准的，仍按原规定执行。 
　　二、交易限额 
　　非期货公司会员或者客户单日开仓交易的最大数量为20手。单日开仓交易数量是指非期货公司会员或者客户当日在单个期货合约上的买开仓数量与卖开仓数量之和。实际控制关系账户组单日开仓交易的最大数量按照单个客户执行。套期保值交易和做市交易的开仓数量不受交易限额限制。 
　　对于第一次超过交易限额的非期货公司会员或者客户，郑州商品交易所将采取暂停开仓不低于5个交易日的监管措施，累计两次超过交易限额的，将采取暂停开仓不低于1个月的监管措施。情节严重的，按照《郑州商品交易所违规处理办法》有关规定处理。 
　　特此公告。 
 
郑州商品交易所 
2023年5月9日"
新集能源：一季度长协煤均价704元/吨,https://www.cctd.com.cn/show-22-233146-1.html,2023-05-10,新集能源：一季度长协煤均价704元/吨,"来源：新集能源
					
					发布时间：2023-05-10 09:34:27
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","新集能源5月8日在投资者互动平台表示，公司2023年第一季度综合热值约为3991卡/克，去年一季度综合热值4405卡/克。公司2023年3月份煤炭不含税综合售价约为535元/吨。 
　　公司销售煤炭以长协客户为主，2021年长协煤含税价格5000卡综合平均为753.25元/吨，实际结算以实际发运热值按长协煤含税价折算后的价格结算。 
　　公司的煤炭销售价格受热值影响，2023年第一季度综合热值约为3991卡/克，折算成5000卡/克，售价约在704元/吨，符合长协煤价格区间。 
　　新集能源介绍，公司矿区位于准南复向斜谢桥向斜南翼中段，主体构造线呈北西西向展布。由于受南北挤压应力的作用，在矿区中偏南部或南部边缘形成了以阜凤逆冲断层为主体的推覆构造，使下元古界、寒武系、奥陶系及部分石炭、二叠系地层自南而北推覆于煤系地层之上。刘庄煤矿、口孜东矿和板集煤矿为巨厚新生界松散层下深井开采，总体呈单斜构造，地层走向近东西，倾向南倾角一般为5°~25°。各生产矿井构造类型为中等，矿井地质类型除新集一矿为复杂类型外，其余矿井均为极复杂。因此，在新集矿区井田内几乎找不到不受地质构造和断层影响的块段，在工作面回采过程中难以避免过断层构造带。 
　　新集能源称，选煤厂通过技术改造可以洗焦煤。公司所属新集二矿选煤厂就可以洗焦煤，在2013年前后曾经洗焦生产，由于矿井在生产过程中要考虑优劣煤层配采，以提高综合效益，同时矿井难以做到1煤连续回采，加之1煤过地质冲刷带等原因，矿井不具备连续生产焦煤的能力，综合以上因素，公司近几年暂未实行洗焦煤。 
　　价格方面，新集能源表示，公司非保供煤炭执行铁路直供机制和月度定价模式：铁路直供机制：基准价格+浮动价格+15元/吨；基准价格=700元/吨；浮动价格=｛[（上月最后一期全国煤炭交易中心价格指数NCEI+上月最后一期环渤海动力煤价格指数BSPI+上月最后一期CCTD秦皇岛5500大卡综合交易价格+上月最后一期CECI中国沿海电煤5500大卡采购综合价）/4-700]/2+（上月16日至当月15日CCTD秦皇岛5000大卡现货交易价格均值+上月16日至当月15日CCI5000动力煤价格均值）/2-664｝/2。月度定价模式（地销直供、铁路现货、地销现货客户）：综合考虑当期矿井生产、区域大型用煤企业动力市场煤到厂价及周边同类型其他煤炭生产企业现货挂牌价等因素，执行月度定价适时调价的定价方式。合同标注规格均为混煤，基准为5000卡，实际结算以实际发运热值为准。 
　　煤层具体采掘方面，新集能源介绍，煤炭开采自上而下进行，公司焦煤储量基本在最下层的1煤，由于1煤组底板灰岩水害威胁较大，目前仅新集二矿通过采取超前综合治理手段，实现了1煤层安全开采，但仍未实现全年连续开采。"
“西煤东运”大通道唐包铁路开展为期35天的集中整修,https://www.cctd.com.cn/show-39-233144-1.html,2023-05-10,“西煤东运”大通道唐包铁路开展为期35天的集中整修,"来源：内蒙古新闻广播
					
					发布时间：2023-05-10 09:32:53
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","为了保证国家能源运输安全，铁路部门利用冬季和夏季两个能源运输高峰期的间隙，于5月6日开始，对我国“西煤东运”主通道之一的唐包铁路开展大规模集中整修。 
　　由于唐包铁路属于煤炭重载专用线，行驶的货运列车全列重达1万吨以上，是普通货运列车的两到三倍，对线路的损耗更加严重，唐包铁路每根钢轨的使用寿命只有普通铁路线的一半左右。 
　　据了解，唐包铁路连接内蒙古中西部煤炭主产区和渤海湾港口，2022年累计发运煤炭1.15亿吨,同比增加1600万吨，占内蒙古煤炭外运总量的五分之一。 
　　这条铁路经过秋冬两季煤炭保供任务的高负荷运转，加之春季冻土融化导致的线路路基松软变形，多处出现钢轨磨损和线路不平顺的现象。 
　　为了系统整治季节性病害、保障即将到来的夏季能源运输高峰安全有序，铁路部门从5月6日起对唐包铁路开展为期35天的集中整治施工，共更换钢轨114.3公里、平整线路306公里、打磨钢轨360公里、系统整治大型隧道2座，计划出动人工10万余人次，大型养路机械1800余台次。 
　　据悉，本次施工是唐包铁路开通后规模最大、维修项目覆盖最全的一次集中整修，将明显提升这条能源运输大通道设备质量，为国家能源保供提供良好基础。 
　　另有消息称，除唐包线外，呼铁局内的呼准线也将于5月6日至6月9日进行集中修，每日从周家湾开始至王气站，于14点20分至次日早间的7点50分开V型天窗。"
4月下旬全国流通市场钢价跌幅扩大,https://www.cctd.com.cn/show-18-233143-1.html,2023-05-10,4月下旬全国流通市场钢价跌幅扩大,"来源：国家统计局
					
					发布时间：2023-05-10 09:31:49
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","国家统计局日前发布的数据显示，2023年4月下旬，全国流通市场钢材价格大跌，继续处于下行通道。具体如下： 
　　螺纹钢（Φ20mm，HRB400E）价格为3794.1元/吨，较上期（4月中旬，下同）下降193.6元/吨，降幅4.9%，较上期扩大2.6个百分点。 
　　线材（Φ8-10mm，HPB300）价格3971.2元/吨，较上期下降200.3元/吨，降幅4.8%，较上期扩大2.5个百分点。 
　　普通中板（20mm，Q235）价格4329.2元/吨，较上期下降144.7元/吨，降幅3.2%，较上期扩大2.2个百分点。 
　　热轧普通板卷（4.75-11.5mm，Q235）价格4036.4元/吨，较上期下降214.9元/吨，降幅5.1%，较上期扩大3.5个百分点。 
　　无缝钢管（219*6，20#）价格4932.8元/吨，较上期下降61.1元/吨，降幅1.2%，较上期扩大0.5个百分点。 
　　角钢（5#）价格4175.1元/吨，较上期下降155.1元/吨，降幅3.6%，较上期扩大1.4个百分点。 
　　因流通市场主流规格品变化，为提高监测产品代表性，2023年1月上旬起，部分产品规格型号有所调整，涨跌幅按可比价格计算。"
CCTD：内蒙露天矿停产影响几何？,https://www.cctd.com.cn/show-42-233141-1.html,2023-05-10,CCTD：内蒙露天矿停产影响几何？,"来源：中国煤炭市场网
					
					发布时间：2023-05-10 09:29:14
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","近期关于煤炭主产区相关省份关于安全生产相关通知较为密集，内蒙古发布进一步加强全区露天煤矿安全管理若干措施、国家矿山安全监察局对内蒙古32处问题严重露天煤矿发布处置决定、山西省从4月25日起至12月底，在全省开展重大事故隐患专项排查整治2023行动。
　　内蒙古露天煤矿存在《煤矿重大事故隐患判定标准》明确的重大事故隐患情形之一的，依法依规责令停产整顿等相关措施，已在之前阿拉善新井煤业重大矿难事故后实际执行。其中提及的“四个一批”处置措施，长远来看也有利于煤矿资源整合，稳步推进煤炭产能接续，新建现代化大型露天煤矿。同时也有利于保障后续露天矿安全生产，对大多数露天煤矿并无实质影响。
　　国家矿山安全监察局所列明的相关煤矿（产能5010万吨，核减2355万吨）也依照相关规定在2月底后展开停产整顿。涉及煤矿中涉及产能占比相对有限（约占内蒙古原煤产能4%），以炼焦煤产能为主，动力煤相对较少，同时其核增部分此前释放程度也较为有限。从3月份内蒙古原煤产量来看，仍达到1.13亿吨历史最高水平，同比增长4.6%，总体来说对现有生产情况无明显影响，关注后续整改复产进度。此外对2021年、2022年连续两年煤炭产量达不到原有产能的70%的煤矿，评估其生产能力，核减不具备安全保障条件的产能。这对于目前产量暂时也不构成影响。
　　总体而言对蒙西焦煤区域性影响为主，对动力煤市场仅有情绪上影响，供需实质影响有限。安监严格将对煤矿生产节奏造成一定影响，但近年来在煤矿常态化监管、以及能源保供背景下，预计对国内煤炭产量影响有限。（作者：书豪）"
5月份内蒙古动力煤现货价格还将维持偏弱走势,https://www.cctd.com.cn/show-361-233139-1.html,2023-05-10,5月份内蒙古动力煤现货价格还将维持偏弱走势,"来源：内蒙古自治区人民政府
					
					发布时间：2023-05-10 09:26:28
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","内蒙古自治区人民政府网消息，据各盟市上报的能源价格监测数据显示，4月份，全区动力煤、焦炭价格不同幅度下降。
　　一、煤炭
　　4月份，全区动力煤月度平均坑口价格为402.90元/吨，与3月份相比（下称环比）略降0.78%，与2022年4月份相比（下称同比）下降6.77%。其中，东部褐煤平均坑口价格为331.32元/吨，环比价格略降0.16%，同比价格下降12.71%；鄂尔多斯地区动力煤平均坑口价格为608.13元/吨，环比价格下降1.52%，同比价格下降2.23%。

　　分热值看，3800、4500、5000、5500热值动力煤坑口平均折标价格分别为每吨368.78元、477.83元、620.00元、680.00元，环比，3800热值动力煤价格略涨0.08%，4500热值动力煤价格下降2.55%，5000、5500热值动力煤价格保持稳定；同比，3800、4500、5000、5500热值动力价格分别下降10.03%、2.78%、0.16%、2.86%。
　　今年以来，在国内供应持续增加、进口煤到货良好的共同保障下，煤炭市场供应缺口逐步收窄，北方四港煤炭库存持续处于偏高水平。5月份，电力需求尚处于淡季水平，预计随着供应的稳定增加及中转环节库存的调节，动力煤现货价格还将维持偏弱走势。
　　二、焦炭
　　4月份，焦炭供需偏宽松、成本持续下降，价格逐周回落。全区焦炭月度平均价格为2221.88元/吨，环比价格下降5.25%，同比价格下降27.92%。

　　3月中旬以来，炼焦煤价格持续快速下行，对焦炭成本支撑不足，短期内，随着供给预期乐观、国内外市场供应持续增加，预计炼焦煤价格还有下行空间。近期部分钢材品种表现不佳，钢厂减产意愿增强，预计5月份焦炭需求仍偏弱，加之产能相对充足，预计在成本支撑不足、供需宽松的共同作用下，5月份焦炭价格还将延续下行走势。"
贵州省：到2025年产能达2.5亿吨/年以上 原煤产量达1.8亿吨,https://www.cctd.com.cn/show-176-233137-1.html,2023-05-10,贵州省：到2025年产能达2.5亿吨/年以上 原煤产量达1.8亿吨,"来源：贵州日报
					
					发布时间：2023-05-10 09:23:11
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","放眼贵州大地，毕水兴大型煤炭储配基地加紧规划建设，西南煤炭保供中心呼之欲出。
　　北盘江流域，流域梯级“水光互补”可再生能源基地蔚为壮观；乌蒙大草原，四格风电场38座偌大的风机呼呼转动，通过水、风、光产生的“绿色电力”源源不断输送到千家万户。
　　在黔北区域，正安县页岩气勘探开发项目加快建设，已投产36口井日产量达45万立方米，源源不断涌现新“气”象。
　　…………
　　贵州煤炭资源丰富，是我国南方重要的能源基地，也是“西电东送”的主要能源输出地之一。如何将能源资源优势换取最大的经济效益、生态效益和社会效益？答案是坚持“富矿”必须“精开”。
　　把能源产业作为战略性支柱产业来打造，明确提出深入实施煤炭产业结构战略性调整，加快在建煤电项目建设，推进现役煤电机组改造升级，加快页岩气、煤层气增储上产等重点任务，贵州省富矿精开，做强优势，在加速构建现代能源体系打造新型综合能源基地上迈出坚实步伐。
　　做大“煤”篇章 筑牢“压舱石”
　　连日来，贵州盘江恒普煤业有限公司发耳二矿正加快推进建设。“目前发耳二矿已进入联合试运转阶段，向生产矿井迈进，矿井当前正在建设的是西井一期工程，设计产能每年90万吨。”该公司总经理余兆星告诉记者。
　　推动煤炭产业规模化、智能化发展，加快培育和释放煤炭优质产能是贵州推动煤炭产业结构战略性调整的重要举措之一。
　　作为煤炭主要产区的六盘水、毕节，正加快提升煤炭产业支撑地位。近年来，六盘水市大力实施煤炭产业升级改造，正常生产矿井平均单井规模已达85.5万吨/年。2022年，完成15个煤矿技改建设、新增产能810万吨。
　　以金沙龙凤煤矿、青龙煤矿、织金文家坝煤矿等大型煤矿建设为代表，毕节市2022年煤炭产业结构战略性调整步伐加快，新增煤炭产能540万吨/年，煤炭产量同比增长13.8%。建成智能化采掘工作面7个，新田煤矿成为全省首个通过验收的国家级智能化示范煤矿，青龙煤矿智能化建设取得明显成效。
　　到2025年，全省60万吨/年以上生产煤矿产能占比将达到70%以上、产能达2.5亿吨/年以上，原煤产量达1.8亿吨；煤矿基本实现综合机械化开采，综合机械化掘进工作面占比65%以上，累计建成智能煤矿50处以上。
　　此外，贵州省能源局还持续落实国发〔2022〕2号文件有关精神，编制完成《毕水兴大型煤炭储配基地建设规划》，打造西南地区煤炭保供中心。
　　优化“电”结构 增强保障力
　　连日来，盘江新光2×66万千瓦燃煤发电项目建设正酣，烟囱、冷却塔、主厂房等主体工程已拔地而起，其他配套项目基础部分也初显形态。
　　盘江新光电厂是按照煤电一体化方式建设的“清洁、高效、灵活、低碳、智慧”火力发电项目。项目采用新一代高效一次再热超超临界机组，按照超低排放标准，同步建设烟气除尘、脱硫和脱硝装置，实现燃煤发电的清洁高效生产。据项目部有关负责人介绍，1号机组计划今年12月份发电并网，2号机组将于2024年3月投入运行。
　　与此同时，盘江普定电厂、贵州金元织金“上大压小”、大湾低热值电厂、盘南低热值电厂等一批重大发电项目加快建设，对贵州省不断优化电力结构，加快构建新型电力系统具有重要意义。
　　近年来，贵州省实现了由传统“水火互济”向“水火风光”多能互补的电源结构转变。截至2022年底，贵州省完成煤电机组改造升级660万千瓦，全口径电力装机达到8085.77万千瓦、发电量2335.29亿千瓦时；新能源装机突破2000万千瓦，占全省电力装机的26%。新能源发电量245.86亿千瓦时、同比增长19.62%。
　　今年，贵州省将有序推进480万千瓦现役煤电机组改造升级，推动贵阳水场输变电工程、威赫电厂送出工程等500千伏输变电项目加快开工建设，推动煤炭与煤电、煤电与新能源“两个联营”，统筹推动“风光水火储”“源网荷储”一体化发展，全省电力装机规模将达到8400万千瓦。到“十四五”末，全省规划发电装机将突破1亿千瓦，发电量超过3000亿千瓦时，实现电力产业清洁高效发展，大力提升电力供应保障能力。
　　补足“气”短板 增储提产能
　　贵州煤层气、页岩气资源丰富，储量均占全国第四位。近年来，贵州省非常规天然气勘探开发利用不断取得突破，天然气自给率得到提高，不断补足储气调峰短板，如今，贵州天然气“气短”的历史正在改变。
　　在毕节，织金文家坝煤层气勘探开发利用项目已实现规模化开发利用，也是贵州省首个实现煤层气规模化开发利用的项目。目前，该项目有生产井34口，日产气约2.5万立方米，正在逐步提产过程中。
　　在正安，通过对页岩气的勘探、钻井、压裂、采气、销售进行全产业链发展，逐步实现常压页岩气规模化和商业化开采。
　　“截至目前，正安已投产页岩气水平井39口，日产量达45万立方米。”贵州页岩气公司勘探开发部主任李龙介绍，正安区块安场向斜页岩气勘探开发项目规划部署页岩气水平井总井数72口，今年计划新部署20口井。
　　李龙介绍，去年日处理50万立方米的天然气液化工厂和储备能力2.9万水立方储罐的遵义LNG加工及储备项目一期已投运，二期1.6万水立方储罐已达到预冷储液条件，该项目可充分利用正安区块页岩气资源，满足贵州天然气日益增长的需求。
　　在煤矿“三区联动”抽采煤层瓦斯方面，新田煤矿作为全省首个煤矿“三区联动”瓦斯抽采示范项目已取得较好成效，两口地面煤层气井日产气稳定在7000立方米以上。
　　加大开发力度，贵州涌现新“气”象。2022年，贵州非常规天然气产量2.16亿立方米，同比增长85%。到2025年，全省煤层气产量将达到4亿立方米，页岩气产量达到21亿立方米。
　　贵州省能源局有关负责人表示，随着贵州省非常规天然气实现规模化开采利用，将加快完善全省天然气产供储销体系建设，加快把能源优势转化为发展优势，为全省高质量发展提供更加清洁、安全的能源支撑。"
1-4月中国出口钢材2801.4万吨 同比增长55.0%,https://www.cctd.com.cn/show-18-233136-1.html,2023-05-10,1-4月中国出口钢材2801.4万吨 同比增长55.0%,"来源：海关总署
					
					发布时间：2023-05-10 09:21:50
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","海关总署最新数据显示，2023年1-4月份，中国出口钢材2801.4万吨，同比增55.0%。 
　　今年前4个月中国钢材出口额累计338.9亿美元，同比增32.8%。据此测算，1-4月中国钢材出口均价为1209.78美元/吨，同比降14.6%。 
　　4月份，中国出口钢材793.2万吨，环比增0.5%，同比增59.4%；出口额为87.1亿美元，环比降14.7%，同比增22.2%；据此测算出口均价为1097.53美元/吨，环比降15.2%，同比降23.3%。"
1-4月中国钢材进口量同比下降40.1% 铁矿石增长8.6%,https://www.cctd.com.cn/show-18-233135-1.html,2023-05-10,1-4月中国钢材进口量同比下降40.1% 铁矿石增长8.6%,"来源：海关总署
					
					发布时间：2023-05-10 09:20:14
					
						字号【
							小
							中
							大 】
						
						
							
                    收藏新闻","海关总署最新公布的数据显示，2023年1-4月份，中国钢材进口量249.8万吨，同比降40.1%；进口额为43.1亿美元，同比降31.4%。据此测算，1-4月中国钢材进口均价为1726.3美元/吨，同比增14.5%。 
　　4月份，中国进口钢材58.5万吨，环比降14.2%，同比降38.8%；进口额为10.35亿美元，环比降8.7%，同比降31.2%；进口均价为1768.5美元/吨，环比增6.5%，同比增12.4%。 
　　1-4月份，中国进口铁矿砂及其精矿（铁矿石，下同）3.8亿吨，同比增8.6%。进口额437.6亿美元，同比降4.0%。据此测算进口均价为113.7美元/吨，同比降11.6%。 
　　4月份，中国进口铁矿石9044.2万吨，环比降9.8%，同比增5.1%；进口额109.0亿美元，环比降7.6%，同比降5.8%；进口均价为120.5美元/吨，环比增2.4%，同比降10.4%。"
